id,class_name,breed
img_6304,2,22
img_3101,2,23
img_5986,2,22
img_0070,2,22
img_3413,2,22
img_4974,2,25
img_0271,2,25
img_2758,2,21
img_1377,2,22
img_6076,1,12
img_7180,2,22
img_3084,1,12
img_6761,2,21
img_0575,2,22
img_6192,2,22
img_3755,2,22
img_3324,2,23
img_2443,2,25
img_0255,2,24
img_5754,2,22
img_5601,2,21
img_2418,1,12
img_6776,2,22
img_2778,2,22
img_3296,1,11
img_0353,1,11
img_1923,2,22
img_6785,2,23
img_3495,2,21
img_5372,2,24
img_4876,2,22
img_5085,2,24
img_3103,2,22
img_6191,2,24
img_2562,2,21
img_2311,2,22
img_1622,2,25
img_3582,2,22
img_6693,2,25
img_2513,2,25
img_3981,2,21
img_4386,2,24
img_7269,2,22
img_4811,2,22
img_6010,2,22
img_1430,2,22
img_0852,2,22
img_4182,2,22
img_7310,2,25
img_5889,2,25
img_6913,2,22
img_4025,2,21
img_2288,2,22
img_2937,2,22
img_6280,2,22
img_6617,2,21
img_0764,2,22
img_3770,2,22
img_6952,2,21
img_1349,1,12
img_3452,2,23
img_0483,2,22
img_1453,2,21
img_4313,2,24
img_2815,2,24
img_5218,2,23
img_2384,2,21
img_0312,2,22
img_0301,2,22
img_5010,1,11
img_1058,2,22
img_6699,2,21
img_5594,2,22
img_0192,1,12
img_5946,2,21
img_0178,2,22
img_1127,2,24
img_3420,1,13
img_3385,2,22
img_4467,2,21
img_0632,2,22
img_1124,2,25
img_1401,2,22
img_3105,2,21
img_2766,2,22
img_5838,2,22
img_7022,2,25
img_2044,2,21
img_3989,2,22
img_1177,2,21
img_1512,2,25
img_2445,2,25
img_3994,1,12
img_5041,2,22
img_7304,1,12
img_4292,2,21
img_0943,2,21
img_3065,2,22
img_5975,2,25
img_1588,2,22
img_1381,2,24
img_3360,2,23
img_6596,2,24
img_4294,2,24
img_1282,2,22
img_2291,2,22
img_6072,2,22
img_5708,2,24
img_5668,2,22
img_3502,2,24
img_4430,2,22
img_4961,2,25
img_5466,2,25
img_6572,2,22
img_0610,2,21
img_2160,2,21
img_5458,2,21
img_0313,1,12
img_6205,2,24
img_2370,2,24
img_0738,2,24
img_4600,2,24
img_2380,2,21
img_3182,2,21
img_0334,1,12
img_5342,2,24
img_4553,2,22
img_4145,1,12
img_3877,2,24
img_2774,1,14
img_4808,2,21
img_1703,2,22
img_1661,2,25
img_4147,2,21
img_2332,2,23
img_5134,2,24
img_4694,2,22
img_1435,1,12
img_0240,2,22
img_3354,2,23
img_6114,2,22
img_0662,2,22
img_6068,2,24
img_0424,2,22
img_3668,2,22
img_7029,2,21
img_7165,1,12
img_5017,2,24
img_3986,2,23
img_2140,2,24
img_7059,1,12
img_6046,1,12
img_3146,1,12
img_5029,1,12
img_6166,2,23
img_0634,2,24
img_7338,2,22
img_3186,2,22
img_5248,1,12
img_4362,1,12
img_1490,2,22
img_5690,2,22
img_3938,1,12
img_0626,2,22
img_5860,2,21
img_1154,2,22
img_6772,2,23
img_0716,2,22
img_7032,2,22
img_6300,1,11
img_4595,2,22
img_3963,2,21
img_2064,2,22
img_2030,2,23
img_5595,2,22
img_0143,1,13
img_2608,1,12
img_6490,1,13
img_4588,2,22
img_3201,2,21
img_2998,2,22
img_3563,2,24
img_6026,2,23
img_2825,2,22
img_6305,2,22
img_4558,1,12
img_0221,2,22
img_0403,2,22
img_4060,2,22
img_5159,2,22
img_1972,2,25
img_5790,2,22
img_1132,2,22
img_1053,2,22
img_3221,2,22
img_7058,2,25
img_0047,2,21
img_0780,2,25
img_5996,2,24
img_2061,1,12
img_4587,2,22
img_4496,2,23
img_5512,2,23
img_2495,2,22
img_4742,2,22
img_1152,2,22
img_2880,2,25
img_0832,2,22
img_3601,2,21
img_1375,2,25
img_6728,2,23
img_3715,2,23
img_4632,2,24
img_1180,2,22
img_3151,2,25
img_2642,1,12
img_5582,2,25
img_5182,2,22
img_7379,2,23
img_3315,2,25
img_6175,2,22
img_3732,2,25
img_3463,2,25
img_2396,2,23
img_6438,2,21
img_2884,2,25
img_5481,2,21
img_6732,2,23
img_4768,2,24
img_2448,1,12
img_7326,1,12
img_6320,2,22
img_3009,2,24
img_1522,2,23
img_7028,2,25
img_5359,1,12
img_0445,2,24
img_2528,2,24
img_0042,2,25
img_7030,2,22
img_7133,2,25
img_2877,2,22
img_7252,2,21
img_0671,2,24
img_5196,1,12
img_3712,2,21
img_2191,2,25
img_5970,2,23
img_1473,2,21
img_4641,2,21
img_3156,2,22
img_1688,2,25
img_6136,2,24
img_3958,1,12
img_0916,2,25
img_6819,2,22
img_3397,2,22
img_1994,2,25
img_6773,2,24
img_6614,1,12
img_2863,1,13
img_4750,1,12
img_6431,2,22
img_2365,2,24
img_5388,2,25
img_3821,1,12
img_7060,1,12
img_4759,1,13
img_3261,2,21
img_2538,2,21
img_0654,2,21
img_1502,2,23
img_0601,2,24
img_6298,2,22
img_6960,2,25
img_4131,2,21
img_1988,2,25
img_6982,1,15
img_1813,2,22
img_3836,2,22
img_1963,2,23
img_2822,2,25
img_0519,1,12
img_2123,2,22
img_1236,2,23
img_4827,2,24
img_4112,2,24
img_5042,2,23
img_3362,2,24
img_2227,2,22
img_3303,2,21
img_4636,2,25
img_3847,2,21
img_1431,2,21
img_5538,2,21
img_2663,2,23
img_2058,2,21
img_0576,2,25
img_5232,2,23
img_7019,1,11
img_1873,2,25
img_6865,2,22
img_2057,2,22
img_0728,2,22
img_7215,2,24
img_6012,2,24
img_6399,1,11
img_0173,2,24
img_3652,2,25
img_4163,1,12
img_4406,2,22
img_4649,2,22
img_1275,2,22
img_2307,1,11
img_2788,2,22
img_6939,2,22
img_1262,2,22
img_6870,2,22
img_0124,2,22
img_5040,2,22
img_0373,2,23
img_5681,2,21
img_7249,2,23
img_3719,2,21
img_4714,2,22
img_1674,2,25
img_2082,2,23
img_6208,1,15
img_4289,1,12
img_1995,2,23
img_2293,2,22
img_0607,2,23
img_7343,2,22
img_2892,2,22
img_4828,2,21
img_1930,2,23
img_1203,1,12
img_3286,2,21
img_5202,2,22
img_7206,2,25
img_0107,2,22
img_4012,2,22
img_3484,2,22
img_0883,1,11
img_5368,2,25
img_4715,2,25
img_4890,2,22
img_4366,2,22
img_5622,2,22
img_4856,2,22
img_6854,1,12
img_6931,2,21
img_2150,2,24
img_7390,2,21
img_7295,2,22
img_6552,2,22
img_4065,2,21
img_3499,2,22
img_6759,2,22
img_2772,2,22
img_5067,2,22
img_3522,2,22
img_5947,2,23
img_3803,2,22
img_2814,2,25
img_2100,2,22
img_1640,2,24
img_0829,2,21
img_3861,2,24
img_3029,2,21
img_5623,2,22
img_0683,2,22
img_6011,2,23
img_7095,2,21
img_0362,2,22
img_5389,2,24
img_1862,2,24
img_0141,2,22
img_1879,2,25
img_1347,1,11
img_6999,1,12
img_2775,2,22
img_3449,2,22
img_3095,2,22
img_5968,1,12
img_5190,2,21
img_5772,2,22
img_3547,2,22
img_4904,1,11
img_6953,1,14
img_7276,2,22
img_1527,2,22
img_6186,2,24
img_1641,2,22
img_3282,2,21
img_5611,2,24
img_3545,2,22
img_6234,2,22
img_0099,2,22
img_6912,2,21
img_2651,2,21
img_0501,2,22
img_6966,1,12
img_0589,2,22
img_5522,2,24
img_2207,2,25
img_3741,2,21
img_5897,2,23
img_0246,2,25
img_4240,2,24
img_5572,1,12
img_0244,2,24
img_2762,2,21
img_7362,2,25
img_3848,2,24
img_4401,2,23
img_0269,2,22
img_0157,2,25
img_5499,1,15
img_2378,1,12
img_5334,1,11
img_6291,2,21
img_2718,2,23
img_4338,2,21
img_5577,2,21
img_3626,2,21
img_4806,2,24
img_7064,2,23
img_5854,2,25
img_1920,2,22
img_3892,1,11
img_6067,1,15
img_4295,2,22
img_4810,2,22
img_7260,2,21
img_7395,2,24
img_4322,2,22
img_3813,2,23
img_0486,2,23
img_5823,2,22
img_5916,2,24
img_1805,2,22
img_2151,2,22
img_3798,2,22
img_2710,1,14
img_3808,2,24
img_1967,1,11
img_2717,2,23
img_2233,2,23
img_4505,2,24
img_1845,2,24
img_5812,2,22
img_0117,1,11
img_6329,1,11
img_4093,2,21
img_3854,2,25
img_5331,2,22
img_3479,2,22
img_2479,2,22
img_3721,1,12
img_0072,2,21
img_0956,2,22
img_0787,2,22
img_1193,2,22
img_4056,2,25
img_1900,2,24
img_3260,2,21
img_4719,2,22
img_6932,2,24
img_1040,2,24
img_0348,2,24
img_6252,2,22
img_1425,2,21
img_4481,1,12
img_1441,2,25
img_0677,2,23
img_6457,2,22
img_7018,2,22
img_2746,2,22
img_4659,2,21
img_7280,2,23
img_3594,2,22
img_3651,2,22
img_6274,2,22
img_5207,2,22
img_6225,1,11
img_3720,2,22
img_7146,1,15
img_4482,2,22
img_4705,2,25
img_1252,2,22
img_2463,2,24
img_0627,2,22
img_4577,2,22
img_1117,2,22
img_5066,2,22
img_6824,2,24
img_5600,2,22
img_0103,2,22
img_2768,2,22
img_3751,2,21
img_5510,2,21
img_6555,2,22
img_2132,2,22
img_0267,2,24
img_4354,2,23
img_6271,2,25
img_0537,2,24
img_6407,2,22
img_6101,2,24
img_4978,1,11
img_4091,2,22
img_7119,2,22
img_5217,2,22
img_4817,2,24
img_1750,2,21
img_0990,2,25
img_6855,2,21
img_3203,2,21
img_0830,2,24
img_4542,2,25
img_3619,2,22
img_1959,2,23
img_6317,2,25
img_1726,2,21
img_1116,1,13
img_0114,2,25
img_3783,2,24
img_1650,2,22
img_4889,1,12
img_2709,2,25
img_7057,2,21
img_6126,2,21
img_4527,2,22
img_3409,2,22
img_2522,2,21
img_2747,2,23
img_2523,2,21
img_1243,2,21
img_3172,2,23
img_4568,2,22
img_6081,1,12
img_6973,2,24
img_4139,2,22
img_2689,2,24
img_1814,1,13
img_3107,2,21
img_5478,2,21
img_0938,2,22
img_3781,2,24
img_2278,2,21
img_0406,1,13
img_5857,2,25
img_2313,2,22
img_5346,2,21
img_1807,2,21
img_3302,2,22
img_1433,2,21
img_5008,2,25
img_5961,2,22
img_0565,2,21
img_6090,2,23
img_6514,1,14
img_5506,2,22
img_4826,1,12
img_7207,2,23
img_0476,2,22
img_0797,2,25
img_4644,2,24
img_3100,2,24
img_7008,2,23
img_0613,2,21
img_1086,2,22
img_5862,2,22
img_0144,1,12
img_0488,2,25
img_3702,2,21
img_5534,2,22
img_1852,2,21
img_7040,2,25
img_0971,2,25
img_3561,2,21
img_4928,2,23
img_3132,2,22
img_6884,2,25
img_1540,2,21
img_1138,2,25
img_2074,2,25
img_1019,1,12
img_3723,2,23
img_6873,2,23
img_0953,1,12
img_3234,2,22
img_6704,2,22
img_6766,2,23
img_5187,2,21
img_3565,2,23
img_5526,2,24
img_3351,2,24
img_6786,2,22
img_2274,2,21
img_0132,1,12
img_0142,2,22
img_4713,2,25
img_5301,2,24
img_1695,2,25
img_3944,2,21
img_5906,2,24
img_6892,2,22
img_5324,2,24
img_5911,2,22
img_0302,2,22
img_6818,2,22
img_6528,2,22
img_3838,1,12
img_2527,2,25
img_3405,1,12
img_4422,2,21
img_3239,2,24
img_2036,2,22
img_1255,2,23
img_3229,1,14
img_4572,2,22
img_7282,2,22
img_5907,2,22
img_2967,1,11
img_6565,2,22
img_5148,2,21
img_2889,2,25
img_2895,2,24
img_5931,2,22
img_4574,1,13
img_0522,1,11
img_0439,1,12
img_7011,1,15
img_1513,2,22
img_3513,2,24
img_0400,2,22
img_2405,2,24
img_6091,2,22
img_6778,2,25
img_2777,2,23
img_3020,2,22
img_1882,2,24
img_1837,2,21
img_2204,2,22
img_2453,2,23
img_2992,2,22
img_1350,2,22
img_5045,2,22
img_3158,1,12
img_2813,1,15
img_1045,1,12
img_2013,2,22
img_5517,2,22
img_1056,2,23
img_2090,2,24
img_3758,2,25
img_0754,1,12
img_4454,2,24
img_2375,2,22
img_0535,1,12
img_0094,2,25
img_4599,1,11
img_4510,2,22
img_7371,2,22
img_1337,2,22
img_6343,2,22
img_3059,2,25
img_1859,2,22
img_7275,2,23
img_6898,2,22
img_2757,1,11
img_1346,2,21
img_6607,2,23
img_1554,2,24
img_0487,2,22
img_0222,2,23
img_5721,2,24
img_4283,2,23
img_4885,2,25
img_4123,2,25
img_0399,2,21
img_0472,2,22
img_6057,2,22
img_2139,1,15
img_4232,2,21
img_0338,2,22
img_5013,1,12
img_0044,2,25
img_4848,2,21
img_4036,2,24
img_0502,2,22
img_6681,2,22
img_3480,2,24
img_0252,2,21
img_3716,2,22
img_5778,1,14
img_2105,2,23
img_2087,2,22
img_7147,2,23
img_1922,2,21
img_3251,2,23
img_4882,2,23
img_5498,2,22
img_5321,1,11
img_6553,2,21
img_3998,2,22
img_6689,2,21
img_0887,2,24
img_5603,2,23
img_4055,2,23
img_1878,2,25
img_0687,2,25
img_0208,1,13
img_3747,2,22
img_4912,2,21
img_1445,2,24
img_3840,2,21
img_0055,1,12
img_4183,2,21
img_3110,2,24
img_1919,2,23
img_0154,2,21
img_0275,2,22
img_4831,2,24
img_4947,2,21
img_7302,2,22
img_3908,1,11
img_4861,2,23
img_3870,2,23
img_1670,2,21
img_4470,2,23
img_2987,2,22
img_1974,2,22
img_5614,2,22
img_2354,2,25
img_0929,2,22
img_5588,2,22
img_2175,2,24
img_4878,1,12
img_3473,2,25
img_1651,2,21
img_0834,2,21
img_4877,2,24
img_1472,1,12
img_0927,1,13
img_4148,1,13
img_4850,2,22
img_4987,2,22
img_6075,2,24
img_1281,2,23
img_3443,2,22
img_5865,1,11
img_2328,1,11
img_4851,2,23
img_7126,2,22
img_4724,2,22
img_2237,2,21
img_2795,1,12
img_5665,2,24
img_7256,2,23
img_5747,2,24
img_7369,2,25
img_5330,2,24
img_5014,2,21
img_1918,2,22
img_3246,1,11
img_6414,1,12
img_6536,2,22
img_1632,1,12
img_4606,2,21
img_2178,2,22
img_2154,2,22
img_0214,2,24
img_2722,2,21
img_2732,2,22
img_2903,2,22
img_0779,1,12
img_1011,2,22
img_0818,2,25
img_4038,2,22
img_0318,2,23
img_3901,2,25
img_4128,2,21
img_7261,2,25
img_2235,2,22
img_5266,2,22
img_7223,2,24
img_2879,2,24
img_6814,2,23
img_6334,2,25
img_6631,2,21
img_6236,2,23
img_3823,2,24
img_5587,2,24
img_4666,2,23
img_4807,2,22
img_6408,2,25
img_6003,2,22
img_3701,2,21
img_4013,2,21
img_7071,2,22
img_0442,2,25
img_5705,2,25
img_6379,2,22
img_6461,2,22
img_0947,1,12
img_6312,2,24
img_3673,2,21
img_0835,2,23
img_6929,2,25
img_2507,2,24
img_0914,2,22
img_0701,2,24
img_0151,2,21
img_4256,1,11
img_7292,1,12
img_5909,2,21
img_2177,1,12
img_3572,2,25
img_2042,2,21
img_0770,1,11
img_0354,2,22
img_2068,2,22
img_7072,2,25
img_5669,2,24
img_5999,2,22
img_3121,2,22
img_5552,1,11
img_2850,2,21
img_4664,2,22
img_4325,1,13
img_7293,2,21
img_7062,2,21
img_5796,2,23
img_7248,1,12
img_1672,2,21
img_5741,2,22
img_2466,2,22
img_5687,1,11
img_2261,2,25
img_0213,1,11
img_5180,2,24
img_6361,2,21
img_4339,1,11
img_6904,1,12
img_7042,2,21
img_0595,2,22
img_6043,2,23
img_1284,2,22
img_3120,2,21
img_7076,2,21
img_5299,2,22
img_5444,2,23
img_3058,2,22
img_6839,2,22
img_6788,2,22
img_2607,2,22
img_2988,2,22
img_7174,2,22
img_6237,2,24
img_4475,2,22
img_5752,2,24
img_5075,1,12
img_3864,2,23
img_2524,2,23
img_5740,2,23
img_0826,2,22
img_1749,2,22
img_6539,2,22
img_2808,2,22
img_6031,2,25
img_4241,1,15
img_1066,2,22
img_6652,2,22
img_5480,2,22
img_2216,2,24
img_3277,2,22
img_3255,2,21
img_6302,2,22
img_0747,2,21
img_4115,2,22
img_4589,2,22
img_1181,2,25
img_7047,2,24
img_1938,1,11
img_0087,2,25
img_4235,1,12
img_5255,1,12
img_6599,2,22
img_0935,2,24
img_6992,2,24
img_1080,2,22
img_0743,2,21
img_0998,2,24
img_5467,2,22
img_4375,2,24
img_0744,2,21
img_6108,2,22
img_4942,2,21
img_7037,2,23
img_2485,2,22
img_6073,2,24
img_6283,2,25
img_0563,2,24
img_1438,2,23
